wheel,name,specifier,url,extras,marker
pip_tools-7.3.0-py3-none-any.whl,pytest-xdist,,,[],"extra == ""testing"""
pip_tools-7.3.0-py3-none-any.whl,setuptools,,,[],
pip_tools-7.3.0-py3-none-any.whl,tomli,,,[],"python_version < ""3.11"""
pip_tools-7.3.0-py3-none-any.whl,tomli-w,,,[],"extra == ""testing"""
pip_tools-7.3.0-py3-none-any.whl,wheel,,,[],
pipenv-2023.9.1-py3-none-any.whl,beautifulsoup4,,,[],"extra == ""dev"""
pipenv-2023.9.1-py3-none-any.whl,black,==23.3.0,,[],"extra == ""dev"""
pipenv-2023.9.1-py3-none-any.whl,certifi,,,[],
pipenv-2023.9.1-py3-none-any.whl,flake8,"<4.0,>=3.3.0",,[],"extra == ""dev"""
pipenv-2023.9.1-py3-none-any.whl,flaky,,,[],"extra == ""tests"""
pipenv-2023.9.1-py3-none-any.whl,invoke,,,[],"extra == ""dev"""
pipenv-2023.9.1-py3-none-any.whl,mock,,,[],"extra == ""tests"""
pipenv-2023.9.1-py3-none-any.whl,parver,,,[],"extra == ""dev"""
pipenv-2023.9.1-py3-none-any.whl,pytest,>=5.0,,[],"extra == ""tests"""
pipenv-2023.9.1-py3-none-any.whl,pytest-timeout,,,[],"extra == ""tests"""
pipenv-2023.9.1-py3-none-any.whl,pytest-xdist,,,[],"extra == ""tests"""
pipenv-2023.9.1-py3-none-any.whl,setuptools,>=67.0.0,,[],
pipenv-2023.9.1-py3-none-any.whl,sphinx,,,[],"extra == ""dev"""
pipenv-2023.9.1-py3-none-any.whl,towncrier,,,[],"extra == ""dev"""
pipenv-2023.9.1-py3-none-any.whl,virtualenv,>=20.24.2,,[],
pipx-1.2.0-py3-none-any.whl,argcomplete,>=1.9.4,,[],
pipx-1.2.0-py3-none-any.whl,colorama,>=0.4.4,,[],"sys_platform == ""win32"""
pipx-1.2.0-py3-none-any.whl,importlib-metadata,>=3.3.0,,[],"python_version < ""3.8"""
pipx-1.2.0-py3-none-any.whl,packaging,>=20.0,,[],
